meli_seller_id,skus_with_orders
18648,1
26407,2
27010,1
64602,1
92871,36
98756,7
199283,10
204167,11
205236,4
205569,9
213402,10
222052,1
223732,1
239987,590
274599,15
281806,66
299772,1
307628,3
324666,1
330949,1
333857,12
343450,11
350224,1
389978,3
406172,4
427192,1
428941,1
441455,1
453042,35
468649,1
487733,2
492540,9
492921,2
498363,1
501554,1
512896,129
518941,76
523856,1
524587,1
524991,2
534580,5
551523,7
553182,1710
553211,112
554985,10
567555,1
586819,1
602440,1
629629,1
678506,1
681682,84
684600,5
698234,2
709263,7
728731,2
747612,2
784310,112
790195,63
809238,1
833088,23
840395,1
840904,4
842801,2
844952,1
860279,2
873928,2
878227,1
885465,17
899544,4
913082,11
919695,23
931655,71
937357,2
939425,307
955365,1
975109,85
984057,1
985176,1
1018092,1
1022480,4
1026838,1
1043037,1
1046726,20
1082423,224
1084006,7
1100359,1
1116529,1
1119232,247
1131187,1
1135931,2
1138621,48
1149744,1
1159898,2
1173563,1
1201783,17
1207104,1
1214891,1
1246686,1
1249838,5
1255187,32
1262536,25
1272386,7
1315598,1
1325035,1
1336730,47
1337814,10
1347356,6
1349496,1
1356941,10
1364742,1
1370917,3
1378207,40
1383681,11
1392320,1
1476332,18
1490250,20
1505006,92
1538403,1297
1545693,301
1547129,40
1555452,1
1576437,1
1600340,8
1608451,1
1635169,2
1650649,1
1654927,1
1662238,4
1675182,1
1683162,17
1685893,41
1687467,76
1691277,1
1717794,2
1725577,1
1730634,44
1740838,456
1754973,26
1756566,2
1757343,1
1770656,2
1787030,2
1808004,1
1808798,1
1817444,1
1823266,92
1826570,23
1858749,8
1858947,1
1880881,274
1904512,3
1906741,23
1934956,1
1947729,1
1949898,1
1969782,2
1984261,1
2010282,7
2019875,78
2042029,1
2060443,172
2082241,1
2089185,2
2093306,3
2125293,11
2164622,19
2167810,1
2172455,1
2184278,2
2192684,2
2219398,1
2223319,3
2233636,1
2238869,27
2245262,1
2263924,9
2285610,1
2297092,1
2340645,41
2371825,8
2392967,1
2418568,57
2424450,1
2430139,1
2458372,202
2461992,1
2467610,76
2480484,3
2488776,1
2492839,2
2503088,1
2518240,2
2519123,1
2522729,1
2538242,1
2606687,2
2635668,1
2636282,40
2691667,2
2699739,21
2704170,4
2716835,8
2736471,2
2756567,1
2760655,1
2786999,2
2788567,1
2789207,81
2801771,5
2809040,8
2816252,1
2874244,3
2875421,1
2905634,1
2932995,2
2944595,3
2956750,1
3029524,2
3064532,4
3082830,19
3146113,1
3147351,53
3159515,3
3169217,1
3184207,2
3207674,1
3217780,2
3221836,1
3240676,44
3254963,1
3262558,39
3354827,1
3369607,1
3379540,1
3391329,3
3419841,1
3423138,87
3425838,23
3460478,2
3473612,1
3485354,1
3495529,3
3519086,1
3531146,1
3555923,2
3582590,5
3582598,1
3604214,6
3606605,22
3622855,64
3663119,1
3703773,4
3706071,1
3714061,158
3725319,1
3730438,20
3783547,38
3806352,13
3850879,1
3854301,2
3864338,22
3866787,95
3874032,1
3914060,1
3922985,1
3929560,6
3957516,1
3964111,1
3967653,11
3983114,1
3999208,38
4007924,2
4009812,13
4016605,1
4059948,14
4090367,2
4155811,16
4156809,3
4203754,2
4244554,56
4263156,1
4285093,2
4294094,104
4317254,2
4328274,69
4329396,4
4386601,3
4410853,14
4412941,5
4416105,1
4434540,2
4458780,493
4488311,2
4494053,1
4521850,129
4532858,6
4533151,94
4536398,198
4544711,320
4568279,8
4576600,91
4615928,26
4619707,2
4639799,34
4641788,2
4665009,1
4686414,4
4709961,1
4711397,10
4719659,2
4763595,1
4790852,4
4849434,5
4857086,1
4932344,1
4933361,1
4989505,2
5024148,13
5060894,196
5062641,8
5097511,1
5119201,2
5128164,1
5142140,1
5146203,1
5170476,1
5190006,43
5195560,2
5197772,1156
5199034,1
5204197,9
5230154,1
5248015,23
5289806,2
5291219,1
5310574,72
5312764,18
5320464,1
5360444,1
5408200,221
5412900,2
5437075,1
5453254,1
5490799,1
5497785,3
5506474,2
5519286,1
5539609,1
5548830,46
5553770,1
5561987,5
5583333,1
5601769,2
5603272,3
5639823,1
5651300,3
5652009,1
5654027,237
5667155,74
5698857,1
5708651,9
5714215,28
5714864,3
5722608,1
5748598,5
5774966,2
5793469,3
5799372,2
5835125,4
5835273,1
5838214,3
5842569,1
5861200,1
5874579,1
5891991,1
5937255,1
5939913,1
5951383,1
5954743,3
5955548,3
5975146,31
5984442,1
6446809,8
6471226,8
6481579,1
6484851,26
6512262,6
6518376,1
6534505,1
6549656,9
6555210,1
6556256,3
6560663,2
6582709,12
6596624,2
6599429,1
6606668,20
6608378,131
6631648,1
6658596,7
6659239,1
6671343,46
6677117,3
6678131,35
6679049,1
6703160,24
6709071,1
6711100,5
6711806,1
6714341,2
6724616,395
6762464,2
6777234,4
6824108,1
6837998,1
6840722,24
6852432,395
6857039,1
6889724,1
6891270,1
6894422,1
6919149,8
6919787,23
6941319,1097
6943457,1
6948952,82
7006087,75
7056815,1
7059927,33
7063290,1
7082780,1
7132290,1
7139865,43
7162410,1
7185683,29
7192909,1
7232431,2
7284167,1
7298175,227
7306795,1
7322448,7
7339034,1
7358730,34
7384017,152
7398162,1
7399426,1
7419973,20
7438895,1
7568402,4
7605226,1
