,total_items
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=*-5500,951
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=5626-5750,701
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=5500-5562,31
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=5562-5625,412
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=5750-6000,255
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=6000-6375,61
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=6375-6750,117
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=6813-6875,3
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=6750-6781,61
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=6781-6796,138
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=6797-6812,975
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7000-7000,6084
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=6875-6890,2995
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=6907-6937,79
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=6937-6968,106
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=6968-6984,1224
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7000-7015,6115
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7032-7062,185
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7062-7125,314
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7126-7188,485
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7188-7250,644
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7500-7500,1826
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7250-7375,581
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7375-7437,518
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7437-7500,613
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7500-7515,2008
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7532-7562,84
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7562-7625,719
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7626-7688,3
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7688-7750,877
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8000-8000,9098
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7750-7812,936
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7813-7875,514
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7875-7890,3629
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7907-7937,211
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7937-7968,373
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=7968-7984,1416
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8126-8250,894
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8000-8015,9157
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8032-8062,145
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8062-8125,542
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8500-8500,1617
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8250-8375,930
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8375-8437,291
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8437-8500,955
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8500-8625,53
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8626-8750,986
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=9000-9000,4484
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8750-8812,895
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8813-8875,371
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=8875-9000,285
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=9126-9250,11
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=9000-9015,4779
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=9032-9062,0
https://api.mercadolibre.com/sites/MLC/search?category=MLC1196&price=9062-9125,564
