,Unnamed: 0,id,path_from_root,path_from_root_id,name,total_items_in_this_category
0,0,MLC440901,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Alarmas para Motos']","['MLC1747', 'MLC1772', 'MLC440901']",Alarmas para Motos,1741
1,1,MLC434708,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Alforjas']","['MLC1747', 'MLC1772', 'MLC434708']",Alforjas,3283
2,2,MLC437264,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Caballetes', 'Elevadores']","['MLC1747', 'MLC1772', 'MLC437263', 'MLC437264']",Elevadores,27
3,3,MLC437550,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Caballetes', 'Otros']","['MLC1747', 'MLC1772', 'MLC437263', 'MLC437550']",Otros,6
4,4,MLC437265,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Caballetes', 'Universales']","['MLC1747', 'MLC1772', 'MLC437263', 'MLC437265']",Universales,1228
5,5,MLC11090,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Cascos']","['MLC1747', 'MLC1772', 'MLC11090']",Cascos,10016
6,6,MLC414018,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Cubre Amortiguadores']","['MLC1747', 'MLC1772', 'MLC414018']",Cubre Amortiguadores,2430
7,7,MLC183102,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Cubre Puños']","['MLC1747', 'MLC1772', 'MLC183102']",Cubre Puños,4407
8,8,MLC429403,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Cubre Rayos']","['MLC1747', 'MLC1772', 'MLC429403']",Cubre Rayos,1358
9,9,MLC440902,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Defensas']","['MLC1747', 'MLC1772', 'MLC440902']",Defensas,7471
10,10,MLC429624,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Emblemas']","['MLC1747', 'MLC1772', 'MLC429624']",Emblemas,3025
11,11,MLC430629,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Fundas', 'Para Asientos']","['MLC1747', 'MLC1772', 'MLC455763', 'MLC430629']",Para Asientos,2315
12,12,MLC416885,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Fundas', 'Para Cuatriciclos']","['MLC1747', 'MLC1772', 'MLC455763', 'MLC416885']",Para Cuatriciclos,1071
13,13,MLC22297,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Fundas', 'Para Motos']","['MLC1747', 'MLC1772', 'MLC455763', 'MLC22297']",Para Motos,9347
14,14,MLC455764,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Fundas', 'Otros']","['MLC1747', 'MLC1772', 'MLC455763', 'MLC455764']",Otros,8
15,15,MLC22890,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Accesorios', 'Antiparras']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455749', 'MLC22890']",Antiparras,2466
16,16,MLC437579,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Accesorios', 'Gorras']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455749', 'MLC437579']",Gorras,23
17,17,MLC22879,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Accesorios', 'Guantes']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455749', 'MLC22879']",Guantes,7515
18,18,MLC417272,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Accesorios', 'Lentes']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455749', 'MLC417272']",Lentes,2989
19,19,MLC61217,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Accesorios', 'Máscaras y Pasamontañas']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455749', 'MLC61217']",Máscaras y Pasamontañas,3695
20,20,MLC429503,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Accesorios', 'Tear Offs']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455749', 'MLC429503']",Tear Offs,124
21,21,MLC455750,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Accesorios', 'Otros']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455749', 'MLC455750']",Otros,0
22,22,MLC59862,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Botas']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC59862']",Botas,2679
23,23,MLC440894,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Camisas']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC440894']",Camisas,71
24,24,MLC59860,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Chaquetas']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC59860']",Chaquetas,2479
25,25,MLC411538,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Conjuntos']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC411538']",Conjuntos,2094
26,26,MLC437578,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Medias']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC437578']",Medias,184
27,27,MLC59861,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Pantalones']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC59861']",Pantalones,1191
28,28,MLC437581,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Protección para Motociclistas', 'Arneses de Seguridad']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455751', 'MLC437581']",Arneses de Seguridad,253
29,29,MLC437246,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Protección para Motociclistas', 'Chalecos Airbag']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455751', 'MLC437246']",Chalecos Airbag,132
30,30,MLC403007,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Protección para Motociclistas', 'Coderas']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455751', 'MLC403007']",Coderas,402
31,31,MLC403008,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Protección para Motociclistas', 'Fajas Lumbares']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455751', 'MLC403008']",Fajas Lumbares,26
32,32,MLC183101,"['Accesorios para Vehículos', 'Acc. para Motos y Cuatrimotos', 'Indumentaria y Calzado', 'Protección para Motociclistas', 'Jofas']","['MLC1747', 'MLC1772', 'MLC11076', 'MLC455751', 'MLC183101']",Jofas,1196
