meli_item_id,sold_quantity
MLC1027411662,1515
MLC1025868897,586
MLC581052505,480
MLC967968549,1989
MLC1023354590,918
MLC486061635,393
MLC1019534176,618
MLC635038710,273
MLC583785378,602
MLC581052512,309
MLC581052504,272
MLC583785387,269
MLC1004848197,333
MLC1003681205,448
MLC581052517,376
MLC486062192,492
MLC496520699,380
MLC523640629,287
MLC499339903,518
MLC585783805,255
MLC961840761,281
MLC1005169429,399
MLC612084053,312
MLC477844032,344
MLC486062914,337
MLC566009342,318
MLC520019140,404
MLC486190063,389
MLC521949542,636
MLC486186292,476
MLC571031789,259
MLC552114972,273
MLC527203132,257
MLC581032640,774
MLC574408235,561
MLC581032646,263
MLC519675071,561
MLC511355595,262
MLC621816869,853
MLC979750913,924
MLC581768218,376
MLC958531071,606
MLC959200399,730
MLC574392668,1213
MLC574392781,374
MLC961860697,356
MLC572974512,337
MLC586632867,396
MLC965062814,295
MLC599218809,309
MLC638294730,494
MLC574392934,258
MLC958980081,347
MLC552584057,919
MLC970385182,379
MLC523761700,567
MLC499340216,1129
MLC486275510,343
MLC574392603,464
MLC574392919,283
MLC574392595,345
MLC614110531,522
MLC574392838,384
MLC624710391,783
MLC624710280,499
MLC574392784,369
MLC597741348,292
MLC580277908,294
MLC574392822,272
MLC927859974,707
MLC614110495,334
MLC574392652,927
MLC576598005,626
MLC973178548,649
MLC965869747,391
MLC550924275,434
MLC910789600,369
MLC929730571,772
MLC507455411,315
MLC585361035,544
MLC934018836,279
MLC574392985,283
MLC477835997,423
MLC477802726,433
MLC572580692,430
MLC900682342,1561
MLC574392937,350
MLC577044091,464
MLC936727080,669
MLC615873926,344
MLC614110486,730
MLC606289538,338
MLC600007870,455
MLC454668382,300
MLC541296791,263
MLC605832570,479
MLC641445683,424
MLC1024250457,264
MLC941015569,266
MLC589524009,540
MLC513964331,354
MLC598797943,265
MLC528606974,342
MLC933993646,260
MLC633266256,274
MLC537962300,271
MLC607621047,261
MLC584143456,342
MLC950636507,373
MLC533713749,341
MLC491342989,571
MLC502631975,1026
MLC943241688,260
MLC492038918,412
MLC537962301,699
MLC637941403,270
MLC542070590,357
MLC455589844,258
MLC641650290,351
MLC542080348,679
MLC590575932,768
MLC956101449,344
MLC546449266,271
MLC513881981,609
MLC446525072,4189
MLC640418306,284
MLC490253327,290
MLC435945532,314
MLC603353519,301
MLC509874298,539
MLC600797866,300
MLC554602936,761
MLC523418763,353
MLC575424810,382
MLC450646901,481
MLC570796877,1173
MLC516359950,269
MLC600798005,442
MLC455653699,394
MLC584126158,262
MLC510756711,895
MLC601104546,622
MLC562730120,1866
MLC562723570,1615
MLC450925879,1553
MLC554702847,773
MLC564981974,1126
MLC478436816,1091
MLC585293141,2408
MLC470843074,459
MLC536706241,520
MLC916418129,332
MLC533584154,854
MLC621876984,765
MLC595370647,1079
MLC615618056,804
MLC594403738,784
MLC949638009,552
MLC612023872,362
MLC985626509,1256
MLC607180882,794
MLC554998021,1985
MLC555011597,1518
MLC555012051,790
MLC524285763,379
MLC499991845,305
MLC500001641,332
MLC499681126,982
MLC488000885,270
MLC499679564,300
MLC505434098,824
MLC517537938,399
MLC623618276,928
MLC444933872,2582
MLC487988317,611
MLC577044352,355
MLC457774250,716
MLC609899817,593
MLC637957953,315
MLC637959200,785
MLC555012688,489
MLC517560851,277
MLC501302826,503
MLC533584191,923
MLC509290031,665
MLC614343726,759
MLC505653123,647
MLC549180044,3107
MLC905295908,304
MLC533277031,1108
MLC531221279,639
MLC549186145,3161
MLC577726671,491
MLC942385495,361
MLC584742944,2047
MLC616698297,358
MLC530347537,267
MLC549190013,1365
MLC927563976,3204
MLC991972062,483
MLC513497748,4152
MLC985152526,455
MLC930170573,2656
MLC985066738,315
MLC986833715,495
MLC958431088,669
MLC961849129,365
MLC986136769,282
MLC539313904,1325
MLC927324365,330
MLC492123944,2199
MLC624782321,508
MLC492059051,1071
MLC927471093,351
MLC564433588,1002
MLC548620292,258
MLC561517122,356
MLC940099700,622
MLC940433603,481
MLC916994204,1080
MLC927841027,1060
MLC571534872,256
MLC912413911,795
MLC922338531,602
MLC627492735,344
MLC937013656,1078
MLC946586018,263
MLC918412627,607
MLC642614908,253
MLC542317390,334
MLC579124192,373
MLC564428108,951
